experimentId,experimentRunId,sequence,specificationId,specificationName,workflow,repetition,status,resultClassification,failureType,failureStage,error,attemptCount,startedAt,completedAt,runId,provider,model,temperature,promptVersion,runOrder,randomSeed,workflowDurationMs,aiGenerationDurationMs,refinementIterations,converged,stopReason,totalPromptTokens,totalOutputTokens,totalTokens,initialStaticPassed,initialRuntimePassed,initialAccessibilityPassed,initialFunctionalPassed,initialAllPassed,initialStaticTotalIssues,initialStaticErrors,initialStaticWarnings,initialRuntimeConsoleErrors,initialRuntimeUncaughtExceptions,initialRequiredControlsPresent,initialRequiredControlsExpected,initialAccessibilityViolations,initialAccessibilityViolatingNodes,initialAccessibilityCritical,initialAccessibilitySerious,initialAccessibilityModerate,initialAccessibilityMinor,initialAccessibilityIncomplete,initialFunctionalPassedTests,initialFunctionalFailedTests,initialFunctionalTotalTests,finalStaticPassed,finalRuntimePassed,finalAccessibilityPassed,finalFunctionalPassed,finalAllPassed,finalStaticTotalIssues,finalStaticErrors,finalStaticWarnings,finalRuntimeConsoleErrors,finalRuntimeUncaughtExceptions,finalRequiredControlsPresent,finalRequiredControlsExpected,finalAccessibilityViolations,finalAccessibilityViolatingNodes,finalAccessibilityCritical,finalAccessibilitySerious,finalAccessibilityModerate,finalAccessibilityMinor,finalAccessibilityIncomplete,finalFunctionalPassedTests,finalFunctionalFailedTests,finalFunctionalTotalTests,staticIssueChange,accessibilityViolationChange,functionalFailedTestChange,iterationMetrics,responseFile
experiment-2026-08-03T14-15-25-809Z-f77080fe,booking__quality-focused__10,1,booking,Appointment Booking Form,quality-focused,10,completed,valid-passed,,,,1,2026-08-03T14:15:25.816Z,2026-08-03T14:16:02.639Z,2026-08-03T14-15-58-876Z-fe654b06,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,36800,32367,0,,not-applicable,959,3078,4037,true,true,true,true,true,1,0,1,0,0,2,2,0,0,0,0,0,0,0,9,0,9,true,true,true,true,true,1,0,1,0,0,2,2,0,0,0,0,0,0,0,9,0,9,0,0,0,"[{""iteration"":0,""generationDurationMs"":32367,""promptTokens"":959,""outputTokens"":3078,""totalTokens"":4037}]",responses/booking__quality-focused__10.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,booking__quality-focused__4,2,booking,Appointment Booking Form,quality-focused,4,completed,valid-poor-quality,,,,1,2026-08-03T14:16:02.653Z,2026-08-03T14:16:24.320Z,2026-08-03T14-16-21-899Z-c8bdabc6,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,21660,19224,0,,not-applicable,959,2910,3869,false,true,true,true,false,3,3,0,0,0,2,2,0,0,0,0,0,0,0,9,0,9,false,true,true,true,false,3,3,0,0,0,2,2,0,0,0,0,0,0,0,9,0,9,0,0,0,"[{""iteration"":0,""generationDurationMs"":19224,""promptTokens"":959,""outputTokens"":2910,""totalTokens"":3869}]",responses/booking__quality-focused__4.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,booking__automated-refinement__6,3,booking,Appointment Booking Form,automated-refinement,6,completed,valid-passed,,,,1,2026-08-03T14:16:24.328Z,2026-08-03T14:17:18.791Z,2026-08-03T14-16-49-761Z-550bd579,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,54469,44246,1,true,no-actionable-feedback,6070,6511,12581,false,true,false,false,false,3,3,0,0,0,2,2,1,5,0,1,0,0,1,8,1,9,true,true,true,true,true,0,0,0,0,0,2,2,0,0,0,0,0,0,1,9,0,9,-3,-1,-1,"[{""iteration"":0,""generationDurationMs"":25416,""promptTokens"":796,""outputTokens"":3204,""totalTokens"":4000},{""iteration"":1,""generationDurationMs"":18830,""promptTokens"":5274,""outputTokens"":3307,""totalTokens"":8581}]",responses/booking__automated-refinement__6.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,todo__quality-focused__10,4,todo,To-do List,quality-focused,10,completed,valid-passed,,,,1,2026-08-03T14:17:18.802Z,2026-08-03T14:17:40.795Z,2026-08-03T14-17-38-880Z-feabbef8,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,21986,20045,0,,not-applicable,897,2806,3703,true,true,true,true,true,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,0,6,true,true,true,true,true,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,0,6,0,0,0,"[{""iteration"":0,""generationDurationMs"":20045,""promptTokens"":897,""outputTokens"":2806,""totalTokens"":3703}]",responses/todo__quality-focused__10.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,todo__automated-refinement__7,5,todo,To-do List,automated-refinement,7,completed,valid-passed,,,,1,2026-08-03T14:17:40.809Z,2026-08-03T14:18:13.161Z,2026-08-03T14-18-08-791Z-f9fe75ba,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,32344,27947,0,true,no-actionable-feedback,734,2822,3556,true,true,true,true,true,0,0,0,0,0,2,2,0,0,0,0,0,0,1,6,0,6,true,true,true,true,true,0,0,0,0,0,2,2,0,0,0,0,0,0,1,6,0,6,0,0,0,"[{""iteration"":0,""generationDurationMs"":27947,""promptTokens"":734,""outputTokens"":2822,""totalTokens"":3556}]",responses/todo__automated-refinement__7.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,quiz__automated-refinement__8,6,quiz,Multiple-choice Quiz,automated-refinement,8,completed,valid-passed,,,,1,2026-08-03T14:18:13.174Z,2026-08-03T14:19:11.071Z,2026-08-03T14-18-30-728Z-eb659227,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,57901,49472,2,true,no-actionable-feedback,9263,7766,17029,false,true,false,true,false,1,1,0,0,0,2,2,1,5,0,1,0,0,1,7,0,7,true,true,true,true,true,0,0,0,0,0,2,2,0,0,0,0,0,0,1,7,0,7,-1,-1,0,"[{""iteration"":0,""generationDurationMs"":17526,""promptTokens"":743,""outputTokens"":2594,""totalTokens"":3337},{""iteration"":1,""generationDurationMs"":17904,""promptTokens"":4382,""outputTokens"":2597,""totalTokens"":6979},{""iteration"":2,""generationDurationMs"":14042,""promptTokens"":4138,""outputTokens"":2575,""totalTokens"":6713}]",responses/quiz__automated-refinement__8.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,booking__one-shot__5,7,booking,Appointment Booking Form,one-shot,5,completed,valid-poor-quality,,,,1,2026-08-03T14:19:11.085Z,2026-08-03T14:19:38.261Z,2026-08-03T14-19-35-020Z-58f44c9a,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,27169,23884,0,,not-applicable,796,3317,4113,false,true,false,true,false,3,3,0,0,0,2,2,1,4,0,1,0,0,1,9,0,9,false,true,false,true,false,3,3,0,0,0,2,2,1,4,0,1,0,0,1,9,0,9,0,0,0,"[{""iteration"":0,""generationDurationMs"":23884,""promptTokens"":796,""outputTokens"":3317,""totalTokens"":4113}]",responses/booking__one-shot__5.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,quiz__one-shot__3,8,quiz,Multiple-choice Quiz,one-shot,3,completed,valid-poor-quality,,,,1,2026-08-03T14:19:38.277Z,2026-08-03T14:19:57.653Z,2026-08-03T14-19-54-773Z-d5356877,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,19369,16457,0,,not-applicable,743,2636,3379,false,true,false,true,false,1,1,0,0,0,2,2,2,7,0,2,0,0,1,7,0,7,false,true,false,true,false,1,1,0,0,0,2,2,2,7,0,2,0,0,1,7,0,7,0,0,0,"[{""iteration"":0,""generationDurationMs"":16457,""promptTokens"":743,""outputTokens"":2636,""totalTokens"":3379}]",responses/quiz__one-shot__3.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,booking__quality-focused__9,9,booking,Appointment Booking Form,quality-focused,9,completed,valid-passed,,,,1,2026-08-03T14:19:57.668Z,2026-08-03T14:20:39.897Z,2026-08-03T14-20-37-544Z-9ed6206b,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,42198,39839,0,,not-applicable,959,3070,4029,true,true,true,true,true,1,0,1,0,0,2,2,0,0,0,0,0,0,0,9,0,9,true,true,true,true,true,1,0,1,0,0,2,2,0,0,0,0,0,0,0,9,0,9,0,0,0,"[{""iteration"":0,""generationDurationMs"":39839,""promptTokens"":959,""outputTokens"":3070,""totalTokens"":4029}]",responses/booking__quality-focused__9.json
experiment-2026-08-03T14-15-25-809Z-f77080fe,todo__automated-refinement__9,10,todo,To-do List,automated-refinement,9,completed,valid-passed,,,,1,2026-08-03T14:20:39.916Z,2026-08-03T14:21:22.307Z,2026-08-03T14-20-57-162Z-d95506e6,openai,gpt-5.6-luna,0,1.0.0,seeded-random,77077,42385,34443,1,true,no-actionable-feedback,5123,5480,10603,true,true,false,true,false,0,0,0,0,0,2,2,1,3,0,1,0,0,1,6,0,6,true,true,true,true,true,0,0,0,0,0,2,2,0,0,0,0,0,0,1,6,0,6,0,-1,0,"[{""iteration"":0,""generationDurationMs"":17224,""promptTokens"":734,""outputTokens"":2748,""totalTokens"":3482},{""iteration"":1,""generationDurationMs"":17219,""promptTokens"":4389,""outputTokens"":2732,""totalTokens"":7121}]",responses/todo__automated-refinement__9.json
